sn,object type,object,time,Capacity usage(%),Mapped LUN capacity(MB),Total capacity(MB),Used capacity(MB),array_num
20231121131239,Array,System,2023-03-26 00:00:00,33.49216930856095,,3619711450.449219,1212319887.46582,Array3
20231121131239,Array,System,2023-03-27 00:00:00,33.64299767817996,,3619711450.449219,1217779439.231445,Array3
20231121131239,Array,System,2023-03-28 00:00:00,33.977899831912175,,3619711450.449219,1229901930.837891,Array3
20231121131239,Array,System,2023-03-29 00:00:00,34.2213140820126,,3619711450.449219,1238712824.320801,Array3
20231121131239,Array,System,2023-03-30 00:00:00,34.669496953205424,,3619711450.449219,1254935751.02832,Array3
20231121131239,Array,System,2023-03-31 00:00:00,34.71329462077344,,3619711450.449219,1256521100.216309,Array3
20231121131239,Array,System,2023-04-01 00:00:00,34.8503152457555,,3619711450.449219,1261480851.468262,Array3
20231121131239,Array,System,2023-04-02 00:00:00,34.839801012791334,,3619711450.449219,1261100266.573731,Array3
20231121131239,Array,System,2023-04-03 00:00:00,34.77538514073367,,3619711450.449219,1258768597.876953,Array3
20231121131239,Array,System,2023-04-04 00:00:00,35.012311379705224,,3619711450.449219,1267344644.078125,Array3
20231121131239,Array,System,2023-04-05 00:00:00,35.62425841628086,,3619711450.449219,1289495361.031738,Array3
20231121131239,Array,System,2023-04-06 00:00:00,35.91266879979291,,3619711450.449219,1299934984.708008,Array3
20231121131239,Array,System,2023-04-07 00:00:00,36.31538597744724,,3619711450.449219,1314512184.500488,Array3
20231121131239,Array,System,2023-04-08 00:00:00,36.13695167626168,,3619711450.449219,1308053377.668945,Array3
20231121131239,Array,System,2023-04-09 00:00:00,36.20678475648312,,3619711450.449219,1310581133.669922,Array3
20231121131239,Array,System,2023-04-10 00:00:00,36.34544683569576,,3619711450.449219,1315600300.828613,Array3
20231121131239,Array,System,2023-04-11 00:00:00,36.53891223791798,,3619711450.449219,1322603190.145508,Array3
20231121131239,Array,System,2023-04-12 00:00:00,36.55233578149586,,3619711450.449219,1323089083.689453,Array3
20231121131239,Array,System,2023-04-13 00:00:00,36.58260816764687,,3619711450.449219,1324184856.717285,Array3
20231121131239,Array,System,2023-04-14 00:00:00,36.56555083168998,,3619711450.449219,1323567430.374512,Array3
20231121131239,Array,System,2023-04-15 00:00:00,36.45579601670394,,3619711450.449219,1319594622.769043,Array3
20231121131239,Array,System,2023-04-16 00:00:00,36.24471361861805,,3619711450.449219,1311954049.035645,Array3
20231121131239,Array,System,2023-04-17 00:00:00,36.17767988023794,,3619711450.449219,1309527621.131836,Array3
20231121131239,Array,System,2023-04-18 00:00:00,36.13725198013777,,3619711450.449219,1308064247.802734,Array3
20231121131239,Array,System,2023-04-19 00:00:00,36.15065867785675,,3619711450.449219,1308549531.575195,Array3
20231121131239,Array,System,2023-04-20 00:00:00,36.107943567228354,,3619711450.449219,1307003367.824707,Array3
20231121131239,Array,System,2023-04-21 00:00:00,35.96906758706604,,3619711450.449219,1301976458.068848,Array3
20231121131239,Array,System,2023-04-22 00:00:00,35.791396838277734,,3619711450.449219,1295545289.630859,Array3
20231121131239,Array,System,2023-04-23 00:00:00,35.70349918661765,,3619711450.449219,1292363648.269043,Array3
20231121131239,Array,System,2023-04-24 00:00:00,35.71959741996249,,3619711450.449219,1292946357.864746,Array3
20231121131239,Array,System,2023-04-25 00:00:00,35.85166362445991,,3619711450.449219,1297726773.391113,Array3
20231121131239,Array,System,2023-04-26 00:00:00,35.979477539594306,,3619711450.449219,1302353268.3125,Array3
20231121131239,Array,System,2023-04-27 00:00:00,36.49010270213993,,3619711450.449219,1320836425.790039,Array3
20231121131239,Array,System,2023-04-28 00:00:00,36.69476952559429,,3619711450.449219,1328244774.233887,Array3
20231121131239,Array,System,2023-04-29 00:00:00,37.13924193834316,,3619711450.449219,1344333393.052246,Array3
20231121131239,Array,System,2023-04-30 00:00:00,37.95785184049754,,3619711450.449219,1373964709.415039,Array3
20231121131239,Array,System,2023-05-01 00:00:00,38.01840974893599,,3619711450.449219,1376156730.960938,Array3
20231121131239,Array,System,2023-05-02 00:00:00,38.07459550769332,,3619711450.449219,1378190493.304199,Array3
20231121131239,Array,System,2023-05-03 00:00:00,38.07672915732307,,3619711450.449219,1378267725.26416,Array3
20231121131239,Array,System,2023-05-04 00:00:00,37.56102320818762,,3619711450.449219,1359600657.972656,Array3
20231121131239,Array,System,2023-05-05 00:00:00,37.66259053662284,,3619711450.449219,1363277102.189941,Array3
20231121131239,Array,System,2023-05-06 00:00:00,37.75232202107528,,3619711450.449219,1366525123.007324,Array3
20231121131239,Array,System,2023-05-07 00:00:00,37.764108366996254,,3619711450.449219,1366951754.720215,Array3
20231121131239,Array,System,2023-05-08 00:00:00,37.77605880904017,,3619711450.449219,1367384326.239258,Array3
20231121131239,Array,System,2023-05-09 00:00:00,37.78811866152575,,3619711450.449219,1367820858.100586,Array3
20231121131239,Array,System,2023-05-10 00:00:00,37.79017836841979,,3619711450.449219,1367895413.546875,Array3
20231121131239,Array,System,2023-05-11 00:00:00,37.62140100980658,,3619711450.449219,1361786160.171387,Array3
20231121131239,Array,System,2023-05-12 00:00:00,37.54672135042916,,3619711450.449219,1359082971.989746,Array3
20231121131239,Array,System,2023-05-13 00:00:00,37.57660031707493,,3619711450.449219,1360164504.366699,Array3
20231121131239,Array,System,2023-05-14 00:00:00,37.46049811539379,,3619711450.449219,1355961939.678223,Array3
20231121131239,Array,System,2023-05-15 00:00:00,37.34757257785444,,3619711450.449219,1351874361.06543,Array3
20231121131239,Array,System,2023-05-16 00:00:00,37.81692304168284,,3619711450.449219,1368863493.547363,Array3
20231121131239,Array,System,2023-05-17 00:00:00,38.10848566372348,,3619711450.449219,1379417219.162598,Array3
20231121131239,Array,System,2023-05-18 00:00:00,38.94817970578278,,3619711450.449219,1409811720.551758,Array3
20231121131239,Array,System,2023-05-19 00:00:00,39.04761954861871,,3619711450.449219,1413411155.929199,Array3
20231121131239,Array,System,2023-05-20 00:00:00,39.20665811603373,,3619711450.449219,1419167893.164551,Array3
20231121131239,Array,System,2023-05-21 00:00:00,39.38616086381023,,3619711450.449219,1425665374.679688,Array3
20231121131239,Array,System,2023-05-22 00:00:00,39.46822590632497,,3619711450.449219,1428635892.42041,Array3
20231121131239,Array,System,2023-05-23 00:00:00,39.58152985514578,,3619711450.449219,1432737168.429688,Array3
20231121131239,Array,System,2023-05-24 00:00:00,39.64184938947079,,3619711450.449219,1434920561.520508,Array3
20231121131239,Array,System,2023-05-25 00:00:00,39.80757108732062,,3619711450.449219,1440919208.793457,Array3
20231121131239,Array,System,2023-05-26 00:00:00,39.92355321649378,,3619711450.449219,1445117427.203613,Array3
20231121131239,Array,System,2023-05-27 00:00:00,40.12565717042899,,3619711450.449219,1452433007.166016,Array3
20231121131239,Array,System,2023-05-28 00:00:00,40.22042227619042,,3619711450.449219,1455863230.550293,Array3
20231121131239,Array,System,2023-05-29 00:00:00,40.34471027278417,,3619711450.449219,1460362097.394531,Array3
20231121131239,Array,System,2023-05-30 00:00:00,40.49181784844689,,3619711450.449219,1465686967.155273,Array3
20231121131239,Array,System,2023-05-31 00:00:00,39.69698409274202,,3619711450.449219,1436916278.687988,Array3
20231121131239,Array,System,2023-06-01 00:00:00,39.62225075137015,,3619711450.449219,1434211147.373047,Array3
20231121131239,Array,System,2023-06-02 00:00:00,39.38877186596976,,3619711450.449219,1425759885.423828,Array3
20231121131239,Array,System,2023-06-03 00:00:00,39.17318338341819,,3619711450.449219,1417956204.435059,Array3
20231121131239,Array,System,2023-06-04 00:00:00,39.0688946844918,,3619711450.449219,1414181254.458496,Array3
20231121131239,Array,System,2023-06-05 00:00:00,38.97727480229685,,3619711450.449219,1410864879.091797,Array3
20231121131239,Array,System,2023-06-06 00:00:00,39.21419308027363,,3619711450.449219,1419440637.12793,Array3
20231121131239,Array,System,2023-06-07 00:00:00,39.2254269116125,,3619711450.449219,1419847269.407227,Array3
20231121131239,Array,System,2023-06-08 00:00:00,39.24663246346605,,3619711450.449219,1420614849.195801,Array3
20231121131239,Array,System,2023-06-09 00:00:00,39.22798923247292,,3619711450.449219,1419940018.028809,Array3
20231121131239,Array,System,2023-06-10 00:00:00,39.17260648758983,,3619711450.449219,1417935322.470703,Array3
20231121131239,Array,System,2023-06-11 00:00:00,39.122705022672605,,3619711450.449219,1416129033.431152,Array3
20231121131239,Array,System,2023-06-12 00:00:00,39.03284043923197,,3619711450.449219,1412876194.814453,Array3
20231121131239,Array,System,2023-06-13 00:00:00,39.008692710307926,,3619711450.449219,1412002116.705566,Array3
20231121131239,Array,System,2023-06-14 00:00:00,39.032449812648345,,3619711450.449219,1412862055.259277,Array3
20231121131239,Array,System,2023-06-15 00:00:00,39.11040962533595,,3619711450.449219,1415683975.525879,Array3
20231121131239,Array,System,2023-06-16 00:00:00,39.56986891475564,,3619711450.449219,1432315076.035156,Array3
20231121131239,Array,System,2023-06-17 00:00:00,39.58132522936568,,3619711450.449219,1432729761.566895,Array3
20231121131239,Array,System,2023-06-18 00:00:00,39.55213382804658,,3619711450.449219,1431673117.070801,Array3
